399394,600993
399394,600812
399394,600789
399394,600763
399394,600750
399394,600664
399394,600594
399394,600587
399394,600572
399394,600557
399394,600535
399394,600521
399394,600518
399394,600436
399394,600422
399394,600380
399394,600351
399394,600332
399394,600329
399394,600276
399394,600267
399394,600993
399394,600812
399394,600789
399394,600763
399394,600750
399394,600664
399394,600594
399394,600587
399394,600572
399394,600557
399394,600535
399394,600521
399394,600518
399394,600436
399394,600422
399394,600380
399394,600351
399394,600332
399394,600329
399394,600276
399394,600267
399394,600252
399394,600216
399394,600085
399394,600079
399394,600062
399394,600055
399394,300347
399394,300326
399394,300318
399394,300314
399394,300298
399394,300273
399394,300267
399394,300246
399394,300244
399394,300238
399394,300206
399394,300199
399394,300181
399394,300147
399394,300110
399394,300049
399394,300039
399394,300030
399394,300026
399394,300015
399394,300003
399394,2653
399394,2603
399394,2551
399394,2550
399394,2437
399394,2433
399394,2432
399394,2424
399394,2422
399394,2399
399394,2393
399394,2317
399394,2294
399394,2287
399394,2275
399394,2262
399394,2223
399394,2219
399394,2198
399394,2099
399394,2020
399394,2001
399394,999
399394,919
399394,915
399394,788
399394,739
399394,590
399394,566
399394,538
399394,513
399394,423
